ZipCode,Latitude,Longitude,State,City,County Name,CountyFIPS,StateFIPS
25149,37.955528,-81.817576,WV,OTTAWA,BOONE,5,54
40363,38.522032,-84.99255,KY,PERRY PARK,OWEN,187,21
51444,42.008082,-94.985627,IA,HALBUR,CARROLL,27,19
96037,41.527284,-122.961777,CA,GREENVIEW,SISKIYOU,93,6
73658,35.906914,-98.728967,OK,OAKWOOD,DEWEY,43,40
57468,45.500789,-97.795345,SD,PIERPONT,DAY,37,46
88253,33.004003,-104.445856,NM,LAKE ARTHUR,CHAVES,5,35
72453,36.271726,-90.715656,AR,PEACH ORCHARD,CLAY,21,5
99150,48.817326,-118.633036,WA,MALO,FERRY,19,53
52543,41.214556,-92.520729,IA,CEDAR,MAHASKA,123,19
40983,37.289455,-83.796662,KY,SEXTONS CREEK,CLAY,51,21
17836,40.7026,-76.602122,PA,LECK KILL,NORTHUMBERLAND,97,42
43151,39.733065,-83.475826,OH,SEDALIA,MADISON,97,39
52624,40.740126,-91.350429,IA,DENMARK,LEE,111,19
89004,36.037759,-115.405876,NV,BLUE DIAMOND,CLARK,3,32
83272,42.077233,-111.426398,ID,SAINT CHARLES,BEAR LAKE,7,16
93244,36.391727,-118.98515,CA,LEMON COVE,TULARE,107,6
26629,38.57907,-80.690854,WV,LITTLE BIRCH,BRAXTON,7,54
20868,39.122434,-76.969072,MD,SPENCERVILLE,MONTGOMERY,31,24
5747,44.00486,-72.829344,VT,GRANVILLE,ADDISON,1,50
61359,41.372075,-89.268282,IL,SEATONVILLE,BUREAU,11,17
69168,40.850712,-101.93525,NE,VENANGO,PERKINS,135,31
29840,33.969052,-82.452006,SC,MOUNT CARMEL,MCCORMICK,65,45
22732,38.314479,-78.198788,VA,RADIANT,MADISON,113,51
14585,42.888831,-77.548643,NY,WEST BLOOMFIELD,ONTARIO,69,36
6373,41.669529,-71.805544,CT,ONECO,WINDHAM,15,9
15710,40.636618,-78.862735,PA,ALVERDA,INDIANA,63,42
17075,40.393503,-77.835367,PA,NEWTON HAMILTON,MIFFLIN,87,42
43529,41.18789,-83.784304,OH,HOYTVILLE,WOOD,173,39
45861,41.088462,-84.418172,OH,MELROSE,PAULDING,125,39
61363,41.25084,-89.18245,IL,STANDARD,PUTNAM,155,17
63784,36.984478,-89.69303,MO,VANDUSER,SCOTT,201,29
55606,47.907813,-89.95344,MN,HOVLAND,COOK,31,27
57646,45.68082,-100.11532,SD,MOUND CITY,CAMPBELL,21,46
12139,43.608397,-74.576996,NY,PISECO,HAMILTON,41,36
80822,39.699374,-102.679808,CO,JOES,YUMA,125,8
66959,39.950744,-97.538146,KS,MUNDEN,REPUBLIC,157,20
73720,36.191198,-97.88459,OK,BISON,GARFIELD,47,40
58004,47.021074,-97.250217,ND,AMENIA,CASS,17,38
50567,42.50977,-95.081865,IA,NEMAHA,SAC,161,19
62357,39.698541,-90.857976,IL,NEW SALEM,PIKE,149,17
67332,37.06039,-95.231032,KS,BARTLETT,LABETTE,99,20
64676,39.660728,-93.047008,MO,ROTHVILLE,CHARITON,41,29
41364,37.391671,-83.6124,KY,RICETOWN,OWSLEY,189,21
54625,44.127584,-91.51546,WI,DODGE,TREMPEALEAU,121,55
65589,37.208824,-91.81548,MO,YUKON,TEXAS,215,29
41226,37.970589,-82.94553,KY,KEATON,JOHNSON,115,21
12770,41.457481,-74.861988,NY,POND EDDY,SULLIVAN,105,36
41603,37.562274,-82.677534,KY,BANNER,FLOYD,71,21
16236,40.785442,-79.521298,PA,MC GRANN,ARMSTRONG,5,42
79527,32.638054,-101.120171,TX,IRA,SCURRY,415,48
64664,39.752858,-93.712648,MO,MOORESVILLE,LIVINGSTON,117,29
23480,37.604325,-75.673878,VA,WACHAPREAGUE,ACCOMACK,1,51
84329,41.637283,-113.362686,UT,PARK VALLEY,BOX ELDER,3,49
81049,37.32176,-103.403942,CO,KIM,LAS ANIMAS,71,8
69148,41.573165,-102.557104,NE,LISCO,GARDEN,69,31
83547,45.297488,-116.335711,ID,POLLOCK,IDAHO,49,16
57329,42.98242,-98.161962,SD,DANTE,CHARLES MIX,23,46
99018,47.296274,-117.177726,WA,LATAH,SPOKANE,63,53
50545,42.797591,-94.050385,IA,HARDY,HUMBOLDT,91,19
50155,41.200335,-94.184645,IA,MACKSBURG,MADISON,121,19
